Critic Loss,Actor Loss,Alpha Loss
6.248257637023926,-2.674659490585327,0.0
5.602322101593018,-2.655301809310913,-0.000662992475554347
6.047715663909912,-2.694385290145874,-0.0013255315134301782
5.9998369216918945,-2.7372052669525146,-0.0019957658369094133
6.088685512542725,-2.690744400024414,-0.0026373928412795067
6.035796165466309,-2.72288179397583,-0.003307429375126958
5.919577598571777,-2.6868696212768555,-0.004017767496407032
5.75961971282959,-2.6643381118774414,-0.004663878120481968
5.650540351867676,-2.703134536743164,-0.0053228349424898624
5.734116077423096,-2.748847723007202,-0.0060043940320611
5.769207000732422,-2.7411158084869385,-0.006651655305176973
5.437387466430664,-2.715721368789673,-0.007307132706046104
5.6088433265686035,-2.6980857849121094,-0.007946155965328217
5.597372531890869,-2.727599859237671,-0.00871080718934536
5.577073097229004,-2.7499001026153564,-0.009246891364455223
5.66560173034668,-2.753502368927002,-0.01004187110811472
5.711970806121826,-2.780517339706421,-0.010574270971119404
5.893459320068359,-2.731616735458374,-0.011267980560660362
5.357590675354004,-2.6897647380828857,-0.011982006020843983
5.712442398071289,-2.7504446506500244,-0.012605901807546616
5.8205766677856445,-2.719938278198242,-0.013357610441744328
5.277240753173828,-2.718142509460449,-0.014028355479240417
5.227214336395264,-2.767263650894165,-0.014636505395174026
5.627871036529541,-2.7748188972473145,-0.0153752276673913
5.448424816131592,-2.722848892211914,-0.016019340604543686
5.993546485900879,-2.7142276763916016,-0.016530586406588554
5.442643642425537,-2.76322865486145,-0.017381172627210617
5.540571689605713,-2.76959228515625,-0.018045855686068535
5.5598955154418945,-2.7330312728881836,-0.01863786391913891
5.675023078918457,-2.786463975906372,-0.019388580694794655
5.590129852294922,-2.807516574859619,-0.0199429951608181
5.200750350952148,-2.7877445220947266,-0.020730050280690193
5.454518795013428,-2.783048629760742,-0.0212949737906456
5.949247360229492,-2.829256296157837,-0.02203422412276268
5.599863052368164,-2.759949207305908,-0.022610513493418694
5.5339765548706055,-2.7823894023895264,-0.02328547276556492
5.485930442810059,-2.801276922225952,-0.024211855605244637
5.786866188049316,-2.804764747619629,-0.02473495714366436
5.520125389099121,-2.8026187419891357,-0.025246035307645798
5.373802185058594,-2.7992284297943115,-0.026306509971618652
5.689403533935547,-2.820798397064209,-0.026699967682361603
5.7151336669921875,-2.779540538787842,-0.02741384506225586
5.674442768096924,-2.87880539894104,-0.028010724112391472
5.299221038818359,-2.8548007011413574,-0.028739865869283676
5.193753242492676,-2.809195041656494,-0.029507510364055634
5.824735164642334,-2.78466534614563,-0.03003891557455063
5.516948699951172,-2.821815013885498,-0.030884135514497757
5.178770065307617,-2.8441882133483887,-0.03153647482395172
5.0974249839782715,-2.820356845855713,-0.03208153694868088
5.657166957855225,-2.803023338317871,-0.0328967310488224
5.281754493713379,-2.8534486293792725,-0.03356374055147171
5.561357498168945,-2.810652732849121,-0.03417854383587837
5.163330554962158,-2.8008170127868652,-0.03470558673143387
5.335017204284668,-2.869307518005371,-0.03531744331121445
5.308711051940918,-2.8694238662719727,-0.036147501319646835
5.245705604553223,-2.891188144683838,-0.03674696385860443
5.203517913818359,-2.8855998516082764,-0.03757089748978615
5.37436580657959,-2.9089152812957764,-0.03814457729458809
5.5661516189575195,-2.879946708679199,-0.03895506262779236
5.498478889465332,-2.9127635955810547,-0.03977372124791145
5.264655590057373,-2.9309260845184326,-0.04028020054101944
5.196321487426758,-2.860020637512207,-0.040706977248191833
5.681007385253906,-2.88185715675354,-0.04180562123656273
5.213345050811768,-2.91909122467041,-0.04219811409711838
5.310748100280762,-2.920518636703491,-0.04285622388124466
5.38350772857666,-2.917572498321533,-0.0437137745320797
5.336494445800781,-2.915440082550049,-0.04439518228173256
5.4712419509887695,-2.9512932300567627,-0.0450490303337574
5.407968044281006,-2.9202396869659424,-0.045690812170505524
4.852598190307617,-2.903923988342285,-0.046132348477840424
5.46507453918457,-2.9530248641967773,-0.04692939668893814
5.178411483764648,-2.9729976654052734,-0.047791898250579834
5.219574451446533,-2.937992811203003,-0.04840051755309105
5.036772727966309,-2.984262228012085,-0.049105431884527206
5.044923305511475,-2.9727158546447754,-0.04963327571749687
5.305286407470703,-2.931549072265625,-0.050625257194042206
5.261264801025391,-2.9738683700561523,-0.051256462931632996
5.199824810028076,-2.966611862182617,-0.051913559436798096
5.053835391998291,-2.9250123500823975,-0.05225151777267456
5.5717058181762695,-3.022665500640869,-0.05310508981347084
5.187946319580078,-3.0154037475585938,-0.05370761454105377
4.912957191467285,-2.976200580596924,-0.054392680525779724
5.014608383178711,-3.0342819690704346,-0.055272627621889114
5.184425354003906,-3.009568691253662,-0.05568142607808113
5.308622360229492,-2.9901058673858643,-0.05677364021539688
5.089391708374023,-2.995986223220825,-0.05693858116865158
5.199832439422607,-2.995685577392578,-0.057766880840063095
5.0454254150390625,-3.0239624977111816,-0.05839204788208008
4.874459266662598,-3.012071132659912,-0.059568338096141815
5.018279552459717,-2.997180223464966,-0.05996670946478844
4.998507499694824,-3.0662662982940674,-0.06054108589887619
4.8875226974487305,-3.038208484649658,-0.06118772551417351
4.90384578704834,-3.060360908508301,-0.06203789636492729
4.567797660827637,-3.084418773651123,-0.06243768334388733
5.198791980743408,-3.0461854934692383,-0.06327953189611435
4.952113151550293,-3.0447845458984375,-0.06388181447982788
5.107882022857666,-3.031440258026123,-0.06475101411342621
4.986822128295898,-3.0594048500061035,-0.06541318446397781
4.888735771179199,-3.104846715927124,-0.06575831025838852
5.191161632537842,-3.107387065887451,-0.06691384315490723
5.3162126541137695,-3.0756754875183105,-0.0673234835267067
4.680137634277344,-3.0849781036376953,-0.06792169064283371
4.872962951660156,-3.0910768508911133,-0.06872119009494781
4.8078742027282715,-3.0898139476776123,-0.06936345994472504
5.028641700744629,-3.1305317878723145,-0.07033436000347137
4.671409606933594,-3.118743658065796,-0.07053214311599731
4.784163475036621,-3.1180384159088135,-0.07146040350198746
4.557440757751465,-3.1366093158721924,-0.0720234364271164
4.638106346130371,-3.152709722518921,-0.07269944995641708
4.651787281036377,-3.105865240097046,-0.07333516329526901
4.667060852050781,-3.147312641143799,-0.07412153482437134
4.579808235168457,-3.1740739345550537,-0.0749942809343338
4.541853904724121,-3.1764447689056396,-0.07512684166431427
4.598629951477051,-3.1816611289978027,-0.07602711021900177
4.853328227996826,-3.1824562549591064,-0.07667338103055954
4.817212104797363,-3.248389720916748,-0.07736605405807495
4.279587268829346,-3.198640823364258,-0.07800853252410889
4.7263994216918945,-3.2149784564971924,-0.07919954508543015
4.569816589355469,-3.2043962478637695,-0.07947855442762375
4.63620662689209,-3.2184104919433594,-0.08016589283943176
4.966187953948975,-3.225064277648926,-0.08063199371099472
4.568166732788086,-3.2462456226348877,-0.08152186125516891
4.307211399078369,-3.286510705947876,-0.08254272490739822
4.695044040679932,-3.2592976093292236,-0.08290340006351471
4.656970500946045,-3.2658610343933105,-0.08390159904956818
4.095836639404297,-3.2862260341644287,-0.08465398102998734
4.389373779296875,-3.286048412322998,-0.08489169925451279
4.379327297210693,-3.3354384899139404,-0.08563374727964401
4.265140533447266,-3.2946393489837646,-0.08645066618919373
4.418517112731934,-3.3256373405456543,-0.08704045414924622
4.23919153213501,-3.3335351943969727,-0.08783584088087082
4.29581356048584,-3.335785388946533,-0.0884595587849617
4.214721202850342,-3.370175361633301,-0.08969677984714508
4.211642265319824,-3.358830451965332,-0.08994095027446747
4.122699737548828,-3.3479974269866943,-0.09044510126113892
4.2313432693481445,-3.3944272994995117,-0.09139098972082138
4.183304786682129,-3.3990750312805176,-0.0918981060385704
4.101467609405518,-3.376460075378418,-0.09228870272636414
4.1657280921936035,-3.4241225719451904,-0.0932784304022789
4.147652626037598,-3.4313271045684814,-0.09355489164590836
3.859469413757324,-3.44543194770813,-0.09464024007320404
4.06313943862915,-3.416447877883911,-0.09522251039743423
4.026348114013672,-3.415355920791626,-0.09561335295438766
3.943443536758423,-3.4585623741149902,-0.09671734273433685
4.008354187011719,-3.508162260055542,-0.09723556786775589
3.9005560874938965,-3.4922852516174316,-0.09785203635692596
3.970771074295044,-3.5422861576080322,-0.09900470823049545
4.044780731201172,-3.5301573276519775,-0.09952722489833832
3.944809675216675,-3.5206456184387207,-0.10007789731025696
3.683537483215332,-3.5184578895568848,-0.10058362036943436
3.7837393283843994,-3.5603458881378174,-0.10133624076843262
3.7466635704040527,-3.5563557147979736,-0.10229973495006561
3.590332269668579,-3.602811098098755,-0.10252529382705688
3.757877826690674,-3.612978458404541,-0.10345062613487244
3.5351154804229736,-3.599719524383545,-0.10388997942209244
3.6069369316101074,-3.6566290855407715,-0.10486435890197754
3.5500850677490234,-3.651292085647583,-0.10567259788513184
3.754361629486084,-3.6622908115386963,-0.10559874773025513
3.5365662574768066,-3.6867527961730957,-0.10637817531824112
3.7754018306732178,-3.6920666694641113,-0.10738082975149155
3.6320035457611084,-3.6830897331237793,-0.10800783336162567
3.450714349746704,-3.7069318294525146,-0.10846312344074249
3.371814727783203,-3.7347350120544434,-0.10933077335357666
3.388357639312744,-3.743380546569824,-0.11037079989910126
3.286965847015381,-3.760150194168091,-0.11054478585720062
3.3201122283935547,-3.774033308029175,-0.11183372139930725
3.416187286376953,-3.787031888961792,-0.11241121590137482
3.1518263816833496,-3.822101593017578,-0.11267346143722534
3.3171675205230713,-3.823373794555664,-0.11326106637716293
3.317877769470215,-3.833301067352295,-0.11417286098003387
3.0154471397399902,-3.8639650344848633,-0.11446698755025864
3.1205997467041016,-3.8802294731140137,-0.11524618417024612
3.5285112857818604,-3.887981653213501,-0.11609584093093872
3.1686012744903564,-3.8931283950805664,-0.11658976227045059
3.0828146934509277,-3.9434423446655273,-0.11748215556144714
2.9841856956481934,-3.9682741165161133,-0.1180305927991867
3.00771427154541,-3.98964262008667,-0.11815696209669113
3.1027867794036865,-3.9978814125061035,-0.11975061148405075
2.970883369445801,-4.016258716583252,-0.11986618489027023
2.991360664367676,-4.014886856079102,-0.1211986392736435
3.372159004211426,-4.064160346984863,-0.12118920683860779
3.021379232406616,-4.087860107421875,-0.12195995450019836
3.124061346054077,-4.086297512054443,-0.12301507592201233
2.8038599491119385,-4.124231815338135,-0.12309781461954117
2.7051069736480713,-4.118772506713867,-0.12433372437953949
2.809731960296631,-4.152248382568359,-0.1253134310245514
2.8347463607788086,-4.157081127166748,-0.1254030019044876
2.6875295639038086,-4.206740379333496,-0.12640389800071716
2.885871410369873,-4.235540866851807,-0.12713882327079773
2.803713798522949,-4.262068748474121,-0.12743698060512543
2.5967800617218018,-4.289039134979248,-0.12810654938220978
2.525496244430542,-4.276943206787109,-0.12912032008171082
2.573962450027466,-4.313619613647461,-0.1295412927865982
2.5816328525543213,-4.3635969161987305,-0.12994176149368286
2.748917579650879,-4.384415626525879,-0.13098496198654175
2.5896811485290527,-4.387266159057617,-0.13185232877731323
2.38185977935791,-4.422768592834473,-0.13236048817634583
2.6052820682525635,-4.4329047203063965,-0.13392332196235657
2.591372489929199,-4.476712226867676,-0.1342463493347168
2.46325421333313,-4.488877296447754,-0.13446131348609924
2.437575578689575,-4.519182205200195,-0.13472789525985718
2.266730785369873,-4.5572662353515625,-0.13602709770202637
2.309128761291504,-4.575672626495361,-0.13590675592422485
2.2327470779418945,-4.6200947761535645,-0.1369284987449646
2.389430284500122,-4.635013103485107,-0.13819994032382965
2.2485406398773193,-4.674129009246826,-0.13892678916454315
2.3200721740722656,-4.676661491394043,-0.1385732740163803
2.289646625518799,-4.728578567504883,-0.13998419046401978
2.203665256500244,-4.741373062133789,-0.14065739512443542
2.218315839767456,-4.784841537475586,-0.1409781128168106
2.2181284427642822,-4.775268077850342,-0.14202800393104553
2.188990592956543,-4.85280704498291,-0.1424221396446228
2.0223641395568848,-4.847677230834961,-0.14342370629310608
2.021141767501831,-4.885030269622803,-0.14428582787513733
2.1750741004943848,-4.935112476348877,-0.1442575752735138
1.9833307266235352,-4.943549633026123,-0.1452871561050415
1.9314873218536377,-4.968639373779297,-0.14610230922698975
1.8569045066833496,-5.019453525543213,-0.14624395966529846
1.7502822875976562,-5.046822547912598,-0.14748305082321167
1.9347805976867676,-5.083627700805664,-0.14837488532066345
1.7780183553695679,-5.1122355461120605,-0.14852920174598694
1.9466097354888916,-5.150339603424072,-0.1489761471748352
1.8068879842758179,-5.174259662628174,-0.15020017325878143
1.688685417175293,-5.218531608581543,-0.1504569798707962
1.681614875793457,-5.248377323150635,-0.15172265470027924
1.7030497789382935,-5.296765327453613,-0.15208549797534943
1.6920409202575684,-5.328598499298096,-0.15234977006912231
1.7110536098480225,-5.326465129852295,-0.15365903079509735
1.7316581010818481,-5.427670478820801,-0.15380215644836426
1.6246612071990967,-5.430777549743652,-0.15511955320835114
1.7759150266647339,-5.459602355957031,-0.15556153655052185
1.6681492328643799,-5.495205402374268,-0.15550358593463898
1.561526894569397,-5.52802848815918,-0.15748609602451324
1.607804536819458,-5.573974132537842,-0.15776224434375763
1.6547691822052002,-5.6304931640625,-0.15680989623069763
1.608810305595398,-5.672954559326172,-0.15790970623493195
1.6246908903121948,-5.673738956451416,-0.1600791960954666
1.3377323150634766,-5.721014022827148,-0.15902550518512726
1.4690536260604858,-5.756382942199707,-0.16122041642665863
1.3767257928848267,-5.801101207733154,-0.16187170147895813
1.5613206624984741,-5.8188676834106445,-0.16193324327468872
1.4249281883239746,-5.876491069793701,-0.1636197566986084
1.3679312467575073,-5.918429851531982,-0.16364356875419617
1.4820119142532349,-5.958003997802734,-0.1645618975162506
1.3895246982574463,-5.9680633544921875,-0.16460344195365906
1.231835961341858,-6.0277838706970215,-0.16575752198696136
1.1636707782745361,-6.0839152336120605,-0.16639024019241333
1.487671971321106,-6.122026443481445,-0.16657398641109467
1.2470297813415527,-6.1568708419799805,-0.16707585752010345
1.2739558219909668,-6.206737041473389,-0.16814391314983368
1.2754404544830322,-6.242101669311523,-0.1692599207162857
1.220221996307373,-6.293781280517578,-0.16927312314510345
1.1846177577972412,-6.336407661437988,-0.16996236145496368
1.150066614151001,-6.4022135734558105,-0.17085708677768707
1.2690752744674683,-6.440975666046143,-0.1708509624004364
1.1525511741638184,-6.45571756362915,-0.17173543572425842
1.0904382467269897,-6.517533779144287,-0.17296098172664642
1.1203614473342896,-6.532899856567383,-0.1742207109928131
1.1363511085510254,-6.59096622467041,-0.1749744564294815
1.263902187347412,-6.616267204284668,-0.17482693493366241
1.072291612625122,-6.669271469116211,-0.17530283331871033
1.0881229639053345,-6.70829439163208,-0.1760769486427307
1.0701102018356323,-6.776644229888916,-0.17723053693771362
1.0811368227005005,-6.836188793182373,-0.17716281116008759
0.9225127696990967,-6.870009422302246,-0.1787164956331253
0.9824427366256714,-6.894484996795654,-0.17836076021194458
0.8470562696456909,-6.948147773742676,-0.1798529326915741
0.96263587474823,-7.014087200164795,-0.18090981245040894
0.9935028553009033,-7.057272434234619,-0.18161991238594055
0.9486582279205322,-7.076976776123047,-0.18074515461921692
0.8377805948257446,-7.1292290687561035,-0.18231835961341858
0.9432918429374695,-7.179722785949707,-0.1833600103855133
0.7547672986984253,-7.246138095855713,-0.18453773856163025
0.8069614171981812,-7.283238410949707,-0.18462200462818146
0.8363698720932007,-7.328165054321289,-0.18502268195152283
0.8362407684326172,-7.391474723815918,-0.18526899814605713
0.8846319913864136,-7.4399919509887695,-0.18583156168460846
0.7637249231338501,-7.469541072845459,-0.1870385855436325
0.7808243632316589,-7.509306907653809,-0.1883946806192398
0.8428388833999634,-7.598832130432129,-0.18764309585094452
0.8283911943435669,-7.617002487182617,-0.18887285888195038
0.9227349758148193,-7.668393611907959,-0.18927277624607086
0.769546627998352,-7.730080604553223,-0.1901848018169403
0.8095400333404541,-7.796111106872559,-0.19091519713401794
0.7659457325935364,-7.798685550689697,-0.19139498472213745
0.9420585036277771,-7.850505828857422,-0.19125133752822876
0.7402557730674744,-7.917969226837158,-0.19289322197437286
0.769506573677063,-7.971151351928711,-0.1939520537853241
0.7883445024490356,-8.031411170959473,-0.19496731460094452
0.7648395895957947,-8.080341339111328,-0.1953381896018982
0.7340421676635742,-8.119501113891602,-0.19569505751132965
0.7371250987052917,-8.169917106628418,-0.1967901885509491
0.6448911428451538,-8.2136812210083,-0.19681710004806519
0.6397233009338379,-8.301109313964844,-0.19742432236671448
0.6284010410308838,-8.321634292602539,-0.19958317279815674
0.7007392644882202,-8.374924659729004,-0.19895648956298828
0.6939193606376648,-8.422032356262207,-0.19905103743076324
0.6656272411346436,-8.493807792663574,-0.20033369958400726
0.6298223733901978,-8.498565673828125,-0.2020942121744156
0.5759623050689697,-8.586343765258789,-0.2027907520532608
0.7165804505348206,-8.617234230041504,-0.2023041993379593
0.6476269364356995,-8.723823547363281,-0.203939750790596
0.6727370619773865,-8.778221130371094,-0.2036760002374649
0.7372487187385559,-8.833340644836426,-0.20411592721939087
0.5847866535186768,-8.857507705688477,-0.20482775568962097
0.640388548374176,-8.89585018157959,-0.20612697303295135
0.5509698987007141,-8.980155944824219,-0.20609109103679657
0.687987744808197,-9.01501750946045,-0.20790328085422516
0.5683682560920715,-9.084991455078125,-0.20737038552761078
0.6348339915275574,-9.134868621826172,-0.20862366259098053
0.5574687719345093,-9.205744743347168,-0.20885027945041656
0.5072856545448303,-9.229350090026855,-0.2090153992176056
0.5043606758117676,-9.290942192077637,-0.21130774915218353
0.5426806807518005,-9.362627029418945,-0.21058635413646698
0.49042975902557373,-9.445268630981445,-0.2118314504623413
0.576970100402832,-9.434914588928223,-0.21268709003925323
0.6103893518447876,-9.496474266052246,-0.21238264441490173
0.5380298495292664,-9.534419059753418,-0.214551642537117
0.48233991861343384,-9.616250038146973,-0.2148798108100891
0.4363441467285156,-9.676567077636719,-0.214891254901886
0.49646979570388794,-9.715860366821289,-0.21661490201950073
0.5060311555862427,-9.782167434692383,-0.2152756154537201
0.5731347799301147,-9.835493087768555,-0.21799209713935852
0.5297974944114685,-9.877869606018066,-0.2190716564655304
0.5513074994087219,-9.93060302734375,-0.21811166405677795
0.5014215707778931,-10.016416549682617,-0.2191237360239029
0.4747927784919739,-10.06441879272461,-0.2195960283279419
0.5682648420333862,-10.130378723144531,-0.21980123221874237
0.520333468914032,-10.195357322692871,-0.2216208130121231
0.4997418522834778,-10.244288444519043,-0.22113142907619476
0.48546263575553894,-10.314682006835938,-0.22202281653881073
0.4881010055541992,-10.34823226928711,-0.2229718267917633
0.5205512046813965,-10.407501220703125,-0.22401797771453857
0.4593324661254883,-10.493659019470215,-0.22541111707687378
0.39693111181259155,-10.522315979003906,-0.22459372878074646
0.46867191791534424,-10.544017791748047,-0.22671936452388763
0.4349815249443054,-10.629833221435547,-0.2266257256269455
0.42985403537750244,-10.710254669189453,-0.22678370773792267
0.4158981442451477,-10.775334358215332,-0.22901666164398193
0.43929898738861084,-10.830991744995117,-0.22959740459918976
0.4058611989021301,-10.868975639343262,-0.22955632209777832
0.5214548707008362,-10.924564361572266,-0.22983527183532715
0.3695691227912903,-10.990118980407715,-0.23066909611225128
0.5579442977905273,-11.054919242858887,-0.23098625242710114
0.4251940846443176,-11.11696720123291,-0.23113694787025452
0.3787524700164795,-11.198490142822266,-0.23302492499351501
0.3994435667991638,-11.235962867736816,-0.23286817967891693
0.3975750207901001,-11.300745010375977,-0.23444610834121704
0.4552258849143982,-11.309867858886719,-0.23396112024784088
0.3642144501209259,-11.406625747680664,-0.23642228543758392
0.38790392875671387,-11.45713996887207,-0.23565450310707092
0.34590059518814087,-11.505270957946777,-0.237482950091362
0.4822004437446594,-11.611577987670898,-0.23663516342639923
0.38144993782043457,-11.622468948364258,-0.2381315380334854
0.526863694190979,-11.729958534240723,-0.23891521990299225
0.4570731520652771,-11.766327857971191,-0.2395380735397339
0.46823203563690186,-11.832634925842285,-0.23921160399913788
0.48463088274002075,-11.859186172485352,-0.24171482026576996
0.3343060612678528,-11.920768737792969,-0.24108228087425232
0.4543295204639435,-12.013798713684082,-0.2417411506175995
0.4257752001285553,-12.081727981567383,-0.241952583193779
0.43986326456069946,-12.153532981872559,-0.24333597719669342
0.42646974325180054,-12.19005298614502,-0.24390612542629242
0.4202132821083069,-12.255305290222168,-0.24571506679058075
0.34153443574905396,-12.328667640686035,-0.245696023106575
0.2883787155151367,-12.373435974121094,-0.24606108665466309
0.34967827796936035,-12.436562538146973,-0.24772369861602783
0.38325023651123047,-12.493769645690918,-0.24743632972240448
0.40981078147888184,-12.561097145080566,-0.2473430037498474
0.5184706449508667,-12.611544609069824,-0.24795077741146088
0.3541108965873718,-12.693620681762695,-0.2494802176952362
0.3242949843406677,-12.734460830688477,-0.250447154045105
0.2950645089149475,-12.851951599121094,-0.25049877166748047
0.29599088430404663,-12.867977142333984,-0.2519776523113251
0.34831100702285767,-12.895282745361328,-0.2512224614620209
0.4223901033401489,-12.979642868041992,-0.2527671456336975
0.33233752846717834,-13.04960823059082,-0.2535399794578552
0.32420849800109863,-13.069857597351074,-0.25366583466529846
0.3570617437362671,-13.19521713256836,-0.2551325559616089
0.3476634621620178,-13.224966049194336,-0.25465258955955505
0.3294709324836731,-13.293985366821289,-0.25745102763175964
0.35343137383461,-13.363412857055664,-0.25649493932724
0.424967885017395,-13.400154113769531,-0.25695252418518066
0.38474947214126587,-13.505921363830566,-0.2587060332298279
0.391872763633728,-13.5598726272583,-0.25850796699523926
0.38506996631622314,-13.604776382446289,-0.260061115026474
0.3156089782714844,-13.6617431640625,-0.2601222097873688
0.31778156757354736,-13.752298355102539,-0.2600257396697998
0.35802966356277466,-13.78028678894043,-0.2603423297405243
0.31742674112319946,-13.909012794494629,-0.26254841685295105
0.4086819291114807,-13.952905654907227,-0.2629975974559784
0.4081924259662628,-13.994455337524414,-0.2634202837944031
0.3344695568084717,-14.022884368896484,-0.26316770911216736
0.24783474206924438,-14.092951774597168,-0.2638988792896271
0.3206448256969452,-14.187339782714844,-0.26469215750694275
0.2865102291107178,-14.254744529724121,-0.26604369282722473
0.327491819858551,-14.313600540161133,-0.26679953932762146
0.3163098096847534,-14.388304710388184,-0.26692384481430054
0.32672929763793945,-14.413174629211426,-0.26806584000587463
0.2841222286224365,-14.518902778625488,-0.2685081362724304
0.30197685956954956,-14.519850730895996,-0.269489049911499
0.2969219386577606,-14.633329391479492,-0.26852038502693176
0.2977418899536133,-14.668617248535156,-0.26984384655952454
0.34021109342575073,-14.72944450378418,-0.271869957447052
0.345294326543808,-14.74384593963623,-0.27281638979911804
0.32481321692466736,-14.885456085205078,-0.27297210693359375
0.29317706823349,-14.8967866897583,-0.2731868624687195
0.3276078701019287,-14.978147506713867,-0.27394410967826843
0.34915778040885925,-15.046499252319336,-0.2740570604801178
0.3182550370693207,-15.075006484985352,-0.27603060007095337
0.34788164496421814,-15.158761024475098,-0.27475035190582275
0.28957080841064453,-15.248051643371582,-0.27617883682250977
0.3069811463356018,-15.24964427947998,-0.27743852138519287
0.3860931992530823,-15.323589324951172,-0.2773052155971527
0.26019471883773804,-15.396052360534668,-0.2789064645767212
0.34572672843933105,-15.495973587036133,-0.2793273329734802
0.27743837237358093,-15.54968547821045,-0.28007540106773376
0.3494458794593811,-15.583636283874512,-0.2813914120197296
0.3127984404563904,-15.66244125366211,-0.281930148601532
0.33373749256134033,-15.719508171081543,-0.280814528465271
0.26531606912612915,-15.784045219421387,-0.28259506821632385
0.36010316014289856,-15.857297897338867,-0.28347742557525635
0.34760141372680664,-15.94357681274414,-0.2844856083393097
0.3665316700935364,-15.964457511901855,-0.284524530172348
0.2761022448539734,-16.030071258544922,-0.285938560962677
0.28133895993232727,-16.0985107421875,-0.28724610805511475
0.3814585208892822,-16.152713775634766,-0.28743603825569153
0.42636507749557495,-16.22384262084961,-0.2859466075897217
0.2735797166824341,-16.2845516204834,-0.28832563757896423
0.33062300086021423,-16.360145568847656,-0.2886853516101837
0.31931987404823303,-16.352968215942383,-0.2894095182418823
0.340243399143219,-16.475072860717773,-0.28917396068573
0.2688894271850586,-16.55040168762207,-0.2930774688720703
0.3205425441265106,-16.62990379333496,-0.29174014925956726
0.35108715295791626,-16.612991333007812,-0.29358190298080444
0.2958119511604309,-16.69059944152832,-0.2918912172317505
0.3062328100204468,-16.763267517089844,-0.2926333248615265
0.29121673107147217,-16.86404800415039,-0.2949640154838562
0.3243255317211151,-16.919219970703125,-0.29447221755981445
0.350847452878952,-16.973722457885742,-0.29657992720603943
0.30953145027160645,-16.99744415283203,-0.294407457113266
0.3062193989753723,-17.071571350097656,-0.2963426113128662
0.38741421699523926,-17.131040573120117,-0.29752904176712036
